,id,score,query,title,content,model_name,is_found
1844,1844,1.0,БРЕНЧАТЬ,БРЕНЧАТЬ,"Тихо позванивать, звякать. Бренчат шпоры. Б. ключами. 2. на чем. Неумело или небрежно играть на музыкальном инструменте (разг.). Б. на гитаре. II сов. пробренчать, -чу, -чишь. II сущ. бренчанье, -я, ср. ",intfloat/multilingual-e5-large,True
3810,3810,1.0000001,ВЫКРЕСТ,ВЫКРЕСТ,"Человек, перешедший в христианство из другой религии. II ж. выкрестка, -и. ",intfloat/multilingual-e5-large,True
12144,12144,1.0,МЕЛОДЕКЛАМАТОР,МЕЛОДЕКЛАМАТОР,"Артист, занимающийся мелодекламацией. II прил. ме-лодекламаторский, -ая, -ое. ",intfloat/multilingual-e5-large,True
29191,29191,0.9999999,ФИЖМЫ,ФИЖМЫ,"В 18 - нач. 19 в.: каркас в виде обруча, вставлявшийся под юбку ) бедер, а также юбка с таким каркасом. ФИЗ... Первая часть сложных слов со знач. 1) физический (во 2 знач.), напр. физза рядка, физкультура, фиэподготовка, физ процедуры, 2) физкультурный, напр. физрук. ",intfloat/multilingual-e5-large,True
11102,11102,1.0,ЛАКОМИТЬСЯ,ЛАКОМИТЬСЯ,"Есть что-н. вкусное, лакомое. Л. вареньем. II сов. полакомиться, -млюсь, -мишься. ",intfloat/multilingual-e5-large,True
17625,17625,0.9999999,ПЕРЕМЕШАТЬ,ПЕРЕМЕШАТЬ,"Мешая, соединить вместе разное или переместить беспорядочно. П. свои и чужие вещи. П. карты в колоде. II несов. перемешивать, -аю,-аешь. ",intfloat/multilingual-e5-large,True
29602,29602,0.99999994,ХЛЕБОПЕКАРНЯ,ХЛЕБОПЕКАРНЯ,То ,intfloat/multilingual-e5-large,True
7770,7770,1.0,ЗАУМНЫЙ,ЗАУМНЫЙ,"Бессмысленный, непонятный. Заумная речь. II сущ. заумность, -и, ж. ",intfloat/multilingual-e5-large,True
18489,18489,1.0,ПОГРЕБОК,ПОГРЕБОК,"Небольшой кабачок, обычно в полуподвальном этаже. Завсегдатаи погребка. ",intfloat/multilingual-e5-large,True
21637,21637,1.0000001,ПРОСТОЙ,ПРОСТОЙ,"Однородный по составу, не составной. Простое вещество (вещество, состоящее из атомов одного химического элемента). 2. Не сложный, не трудный, легко доступный пониманию, осуществлению. Простое решение. Задача решается просто (нареч.). Простое дело. Проще простого (совершенно просто; разг.). 3. Безыскусственный, незамысловатый. Простое платье. Простая обстановка. Одета просто (нареч.) и со вкусом. 4. полн. ф. Не лучшего качества, грубый по обработке. П. помол. П. холст (небеленый). Простые чулки (хлопчатобумажные). 5. Добродушный, простодушный, не церемонный. Не стесняйся его, он человек п. С ним мне легко и просто (в знач. сказ.). 6. поля. ф. Самый обыкновенный, не выделяющийся среди других. П. смертный. Простые люди (трудовой народ). 7. полн. ф. Принадлежащий к непривилегированным сословиям, не дворянский (устар.). П. народ. 8. Глуповатый, недалекий [перво-наи. неумный, глупый]. Этот дурачок не так прост, как кажется. 9. просто, частица. Усиливает слово, к к-рому относится, или высказывание в целом. Этому просто нельзя поверить. Просто невероятно! 10. просто, частица. О том, что легко объяснимо, что нетрудно понять: именно, не иначе как. Он просто не умен. Все это просто ложь. 11. просто, в знач. союза. Соединяет предложения, выражая противопоставление; а1 (в 1 знач.). Я не болен, просто устал. 12. просто, нареч. Как-то случайно, без особого намерения. Просто зашел на огонек. 13. просто, нареч. Без лишних сложностей, без церемоний. Зовите меня не Иван Иванович, а просто Ваня. * Простой карандаш - карандаш с черным грифелем, не цветной. Простым глазом - без помощи оптических приборов. Просто-напросто то же, что просто (см. простой в 10 и 11 знач.). А просто - то же, что просто (см. простой в И знач.) Он не лентяй, (а) просто его избаловали. Просто так - без всякого умысла, намерения, просто. Сказал просто так. Ты зачем пришел? - Просто так. II уменьш. простенький, -ая, -ое (ко 2, 3 и 8 знач.). II сущ. простота, -ы, ж. (ко 2, 3, 5 и 8 знач.). По простоте сердечной (по излишней доверчивости, наивности). ",intfloat/multilingual-e5-large,True
