,url,title,text,topic,tags,date
276852,https://lenta.ru/news/2009/04/03/case/,В петербургском избиркоме нашли 200 поддельных бюллетеней,"На председателя одной из окружных участковых избирательных комиссий Санкт-Петербурга завели уголовное дело. Как сообщает РИА Новости со ссылкой на следственное управление СКП РФ, Юрия Невзорова подозревают в фальсификации избирательных документов. По данным ведомства, подозреваемый, возглавляя избирательную комиссию муниципального образования Комендантский аэродром (расположено на северо-западе Петербурга), во время проходивших 1 марта 2009 года выборов подделал 200 бюллетеней. Уточняется, что Невзоров, по данным следствия, собственноручно проставил в бюллетенях отметки у фамилий конкретных кандидатов и опустил бумаги в избирательную урну. 1 марта в Санкт-Петербурге (как и еще в 78 регионах РФ) проходили муниципальные выборы. Победу на них одержала ""Единая Россия"", на которую проголосовали 77 процентов пришедших на выборы петербуржцев. В пользу каких кандидатов были подделаны бюллетени, фигурирующие в деле Невзорова, не уточняется. РИА Новости отмечает, что ранее нарушения закона во время муниципальных выборов были зафиксированы в Василеостровском районе. Материалы о фальсификациях собраны районной прокуратурой и переданы в петербургское отделение СКП РФ для возбуждения уголовного дела.",Россия,Все,2009/04/03
607736,https://lenta.ru/news/2016/07/18/wada1/,Докладчик WADA заявил о повреждении пробирок с допинг-пробами атлетов на ОИ-2014,"Канадский юрист Ричард Макларен, глава независимой комиссии Всемирного антидопингового агентства (WADA), на специальной пресс-конференции заявил о выявлении царапин на пробирках допинг-проб с Олимпиады-2014 года в Сочи. Слова Макларена в понедельник, 18 июля, приводит «Р-Спорт». По мнению докладчика WADA, это говорит о вскрытии и подмене допинг-проб. «Я также хотел бы подтвердить, что Родченков лично проверял пробирки под замену, чтобы они не были положительными, затем их транспортировали в здание ФСБ, которое было рядом с лабораторией, а уже потом осуществлялась подмена. Мы выбрали случайным образом 11 пробирок российских атлетов с Игр в Сочи. Наши эксперты определили, что внутри пробирок были царапины — это означает, что их вскрывали и подменяли», — заявил Макларен. 12 мая газета The New York Times опубликовала статью, в которой бывший глава московской антидопинговой лаборатории Григорий Родченков обвинил олимпийских чемпионов Сочи — лыжника Александра Легкова, бобслеиста Александра Зубкова, скелетониста Александра Третьякова, а также российских хоккеисток — в употреблении коктейля из трех запрещенных веществ. По данным Родченкова, было подменено около сотни допинг-проб. Образцы мочи с допингом заменяли на чистые, сданные ранее. Происходило это ночью, через небольшую дырку в стене лаборатории в Сочи. Профессор Макларен в составе комиссии WADA ранее расследовал деятельность Всероссийской федерации легкой атлетики (ВФЛА), московской антидопинговой лаборатории, Российского антидопингового агентства (РУСАДА). По итогам расследования комиссия обнародовала отчет, в котором рекомендовала приостановить работу лаборатории, признать РУСАДА несоответствующим кодексу WADA, а ВФЛА, как отмечалось, была лишена членства в международной организации.",Спорт,,2016/07/18
63184,https://lenta.ru/news/2002/12/26/an140/,Опознаны тела 26 погибших в катастрофе Ан-140 в Иране,"По данным на четверг, опознаны тела 26 погибших в авиакатастрофе украинского самолета Ан-140 под Исфаханом в Иране. Об этом сообщил руководитель пресс-службы МИДа Украины Сергей Бороденков, передает агентство ""Интерфакс"". По словам Бороденкова, останки погибших будут доставлены в Харьков самолетом Ан-22, прибывшим в аэропорт Исфахана. Планируется, что он вернется на Украину в ночь с 26 на 27 декабря. Представитель МИДа также сообщил, что достигнута договоренность с Россией о транспортировке тел погибших российских граждан транзитом через Харьков в Москву. Как рассказал Бороденков, в четверг Госкомиссия по расследованию обстоятельств катастрофы планирует вскрыть ""черный ящик"", найденный на месте падения самолета. Члены комиссии начали облет района аварии. На месте катастрофы они возложили цветы в память о погибших. В связи с катастрофой самолета 26 декабря на Украине объявлен траур. Ан-140 украинской компании ""Аэромост-Харьков"" разбился в понедельник вечером, врезавшись в гору в 15 километрах от аэропорта Исфахана. В результате катастрофы погибли 45 человек - 39 украинцев и 6 россиян. Среди погибших - руководители и сотрудники компаний, производящих оборудование и агрегаты для Ан-140. Люди, находившиеся на борту самолета, были приглашены для участия в церемонии первого официального полета Iran-140, построенного в рамках проекта совместного ирано-украинского пассажирского самолета.",Мир,Все,2002/12/26
559868,https://lenta.ru/news/2015/09/07/kostin/,Глава ВТБ предсказал стабилизацию курса рубля в 2016 году,"Президент банка ВТБ Андрей Костин выразил мнение, что ситуация с курсом российской валюты стабилизируется в 2016 году. Об этом, как сообщает ТАСС, глава банка заявил в интервью телеканалу «Россия 24». Колебания курса рубля продолжатся, но резких скачков в ту или иную сторону не будет, убежден банкир. По его мнению, нынешние изменения на валютном рынке объясняются спекуляциями. «Принципиальных, драматических скачков в одну или другую сторону не будет. Какого-то резкого скачка, чтобы паниковать и бежать менять деньги, нет, но волатильность продолжится, думаю, до тех пор, пока не стабилизируются цены на нефть», — пояснил Костин. Падение рубля началось во второй половине прошлого года. Тогда с июня по декабрь курс российской валюты обрушился к доллару в 2,2 раза. С начала февраля 2015 года рубль развернулся к росту и к маю подорожал к доллару на 30 процентов. В мае курс доллара несколько раз опускался ниже 49 рублей. Затем рубль снова ослаб и с середины мая по начало сентября курс доллара вырос с 49 до 68 рублей. Самые существенные колебания валютного курса наблюдались в августе. Так, с 3 по 24 августа курс доллара к рублю взлетел на 16 процентов, а затем с 24 августа по 1 сентября упал на 10,3 процента.",Экономика,Бизнес,2015/09/07
180063,https://lenta.ru/news/2007/02/13/copters/,Иордания закупит российские вертолеты Ка-226,"Россия продаст Иорданскому Хашемитскому королевству партию многофункциональных вертолетов Ка-226. Как сообщает РИА Новости, соответствующий контракт был подписан во время визита президента РФ Владимира Путина в Амман. Помимо этого, представители двух государств договорились о создании Российско-иорданского делового совета и о начале сотрудничества между иорданской автомобильной компанией и АвтоВАЗом. Напомним, что все эти договоры были подписаны в рамках визита представительной российской делегации во главе с президентом на Ближний Восток. Россияне уже посетили Саудовскую Аравию и Катар. Ожидается, что Владимир Путин 13 февраля в аэропорту Аммана встретится и проведет переговоры с главой Палестинской автономии Махмудом Аббасом. Стороны намерены обсудить ситуацию на Ближнем Востоке и пути дальнейшего урегулирования арабо-израильского конфликта.",Мир,Все,2007/02/13
222828,https://lenta.ru/news/2008/03/27/trc/,Москва выполнила план 2020 года по открытию крупных ТЦ,"Количество площадей крупных торговых центров в Москве достигло показателей, запланированных на 2020 год. С таким заявлением выступил на открытии  специализированной выставки-ярмарки ""Недвижимость-2008"" первый заместитель мэра в правительстве Москвы Юрий Росляк, сообщает ""Интерфакс"".По его словам, торговые комплексы в Москве строятся очень активно, так как это наиболее прибыльный сектор рынка коммерческой недвижимости. Росляк отметил, что сегодня перед правительством стоит задача немного трансформировать этот сектор, переведя его из крупных торговых центров в систему магазинов шаговой доступности в расчете на население районов массового проживания.По словам Росляка, сегодня существует возможность строительства небольших торговых центров. ""Хотя мы не сторонники предоставления права строительства, при котором мы будем попадать в условия так называемой точечной застройки. Таким образом, нужно использовать нежилой фонд в районах массового проживания для создания в нем магазинов"", - отметил Ю.Росляк.Заместитель мэра напомнил, что специальная программа создания в Москве магазинов и культурно-бытовых объектов действует уже три года.",Дом,Все,2008/03/27
403200,https://lenta.ru/news/2011/12/31/fireworks/,На Филиппинах почти 300 человек пострадали от фейерверков,"Более 200 филиппинцев с 21 по 30 декабря пострадали от фейерверков и праздничной стрельбы, сообщает Associated Press. Несмотря на государственную рекламную кампанию против необдуманного веселья вообще и неаккуратного обращения с пиротехникой в частности, по официальным данным, 197 человек получили травмы от фейерверков. Кроме того, шальные пули ранили восьмерых филиппинцев. Более половины пострадавших - дети. В сам канун Нового года, сообщает ABS-CBN News, как минимум 86 человек пострадали от фейерверков. Полицейские арестовала 45 человек за хранение или продажу незаконной пиротехники, а глава филиппинской полиции предложил вообще запретить фейерверки. Многие филиппинцы под влиянием китайской традиции верят в то, что шумное празднование Нового года позволит избавиться от неприятностей и неудач в наступающем году. Они - несмотря на угрозы ареста - запускают масштабные фейерверки и стреляют из ружей, встречая Новый год. Власти в рамках кампании против пиротехники используют плакаты с изображениями окровавленных рук и глаз, однако филиппинцы продолжают следовать традиции. В этом году министр здравоохранения предложил местным жителям взамен того, чтобы запускать самим опасную пиротехнику, пойти посмотреть разноцветные фейерверки на площадях. Кроме того, на сайте министерства выложили сборник звуков запуска наиболее мощных фейерверков, который скачали более 50 тысяч человек. Чтобы противостоять другой традиции - стрелять во время Нового года - глава филиппинской полиции пригрозил немедленным увольнением и судебным преследованием всем сотрудникам, которые будут в знак встречи Нового года стрелять из служебного оружия. Несмотря на угрозы, как минимум трое полицейских нарушили этот запрет. Десятки госпиталей по всей стране готовы принять пострадавших во время праздника, а врачи готовятся в случае необходимости ампутировать поврежденные пальцы.",Мир,Все,2011/12/31
229250,https://lenta.ru/news/2008/05/16/reject/,Конгресс США отказался выделить 169 миллиардов долларов на войну,"Палата представителей Конгресса США отказалась дополнительно ассигновать 169 миллиардов долларов на ведение войны в Ираке и Афганистане, сообщает агентство AFP. Законопроект был отклонен 149 голосами ""против"", в то время как поддержал его 141 конгрессмен. Кроме того, парламентарии утвердили льготы на получение образования для солдат после их возращения в США, для оплаты которых предлагается ввести дополнительных налог на состоятельных американцев. Конгрессмены также потребовали от президента Джорджа Буша вывести войска из Ирака до декабря 2009 года.  В поправке к закону о дополнительном финансировании военных операций в Ираке и Афганистане, внесенной по инициативе Демократической партии, говорится, что ""немедленная и организованная передислокация вооруженных сил США из Ирака"" должна начаться в течение 30 дней и завершиться не позднее, чем через 18 месяцев после вступления закона в силу. Ранее в Белом Доме заявили, что Джордж Буш наложит вето на законопроект о финансировании войны в Ираке, содержащий ""искусственные сроки"" вывода американских войск. В то же время Демократическая партия не обладает большинством в две трети голосов в обеих палатах Конгресса, которое необходимо, чтобы преодолеть президентское вето. Попытки демократов в Конгрессе заставить администрацию Джорджа Буша определить сроки вывода войск из Ирака и Афганистана предпринимались несколько раз, однако оставались безрезультатными.",Мир,Все,2008/05/16
146503,https://lenta.ru/news/2006/03/08/lcd/,LG и Philips выпускают 100-дюймовый жидкокристаллический монитор,"Компании LG и Philips объявили о готовящемся выпуске самого большого в мире жидкокристаллического дисплея диагональю 100 дюймов. Новинка будет представлена на выставке CeBit в марте 2006 года, сообщает Gizmodo. Новинка от LG.Philips станет самым большим жидкокристаллическим дисплеем на рынке (сегодня максимальная диагональ жк-панели составляет 82 дюйма) и сравнится по длине диагонали с самым большим в мире плазменным телевизором. Разрешение 100-дюймовой ЖК-панели составит 6,22 миллиона пикселей, контрастность дисплея - 3000:1 при угле обзора в 180 градусов. Период отклика дисплея составит 5 миллисекунд. Точная цена и дата появления ЖК-панели LG.Philips в продаже пока не сообщаются.",Наука и техника,Все,2006/03/08
580794,https://lenta.ru/news/2016/02/12/klounyspeshatnapomosch/,Киев назвал арест членов «Хизб ут-Тахрир» в Крыму повторением геноцида 1944 года,"Министерство иностранных дел Украины назвало задержания активистов запрещенной в России экстремистской организации «Хизб ут-Тахрир» повторением «геноцида крымских татар 1944 года». Заявление опубликовано в пятницу, 12 февраля, пресс-службой внешнеполитического ведомства. МИД выразил обеспокоенность «массовыми незаконными обысками и безосновательными задержаниями 11 и 12 февраля 2016 года тринадцати граждан Украины — представителей крымско-татарского народа». Внешнеполитическое ведомство заявило, что действия правоохранительных органов России повторяют «ужасные советские репрессии 30-х годов XX века, а также геноцид крымских татар 1944 года». Министерство выступило с призывом к демократическому миру оказать давление на Москву. 11 февраля координатор энергоблокады Крыма, один из лидеров непризнанного крымско-татарского меджлиса Ленур Ислямов заявил о намерении вернуться на полуостров, если продолжатся задержания его соратников. «Мы будем ждать, когда это будет возможно. Но если будет продолжаться давление на крымских татар, это давление будет нарастать, и мы увидим, что в Крыму будет проливаться крымско-татарская кровь, мы зайдем в Крым раньше», — отметил Ислямов. Он также заявил, что прошедшие в четверг обыски у его соратников на полуострове и задержания нужны для того, чтобы «уничтожить крымско-татарскую идентичность». Ранее в этот день прокурор Республики Крым Наталья Поклонская сообщила о том, что управление ФСБ по Республике Крым задержало четырех активистов запрещенной в России террористической организации «Хизб ут-Тахрир» и возбудило уголовное дело по факту деятельности организации на территории полуострова. Организация, по словам Поклонской, осуществляла свою деятельность в Ялте и Алуште. Глава надзорного ведомства призвала не придавать делу против «Хизб ут-Тахрир» характер преследований по национальному признаку. «Это террористическая организация. Мы не делаем разбивки по национальности», — подчеркнула она. «Хизб ут-Тахрир аль-Ислами» основана в 1953 году как исламская политическая партия. В России организация признана террористической, и ее деятельность запрещена. Известно о наличии ячеек организации в Таджикистане, Киргизии, Казахстане, Азербайджане, а также на Украине и в Белоруссии.",Бывший СССР,Украина,2016/02/12
